SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,Rotatable Bonds
NCCc1ccc(S(N)(=O)=O)cc1,Z56755653,200.062,200.258,-0.404,-1,2,3,86.18,3
Cc1cccc2[nH]c(C(=O)O)cc12,Z119989626,175.063,175.184,2.63,-3.17,2,2,53.09,1
Cc1ccc(C(=O)O)o1,Z56895714,126.032,126.11,1.56,-1.06,1,2,50.44,1
O=C1Nc2ccccc2C1=O,Z57127903,147.032,147.131,0.828,-2.05,1,2,46.17,0
Nc1ccc2c(c1)S(=O)(=O)C=C2,Z445135574,181.02,181.212,0.505,-1.95,1,3,60.16,0
COc1ccc2[nH]c(C(=O)O)cc2c1,Z1096153758,191.058,191.183,2.135,-2.69,2,3,62.32,2
CC(=O)c1cccc(N)c1,Z57127443,135.068,135.163,0.864,-1.57,1,2,43.09,1
NNC(=O)c1ccncc1,Z58981801,137.059,137.139,-0.668,-0.51,2,3,68.01,1
Cc1ccc(F)cc1C(=O)O,Z203881854,154.043,154.138,2.325,-2.32,1,2,37.3,1
Cc1c(O)cccc1C(=O)O,Z1201620461,152.047,152.147,1.706,-1.4,2,3,57.53,1
CC(=O)c1ccc2c(c1)OCCO2,Z56854473,178.063,178.185,1.745,-2.27,0,3,35.53,1
O=C(O)c1ccccc1C(=O)c1ccc(F)cc1,Z111456674,244.054,244.218,2.557,-4.18,1,3,54.37,3
O=C(O)c1cccnc1C(=O)O,Z57160166,167.022,167.119,-0.042,-0.78,2,5,87.49,2
C[C@@](O)(C(=O)O)c1ccccc1,Z1154245575,166.063,166.174,0.811,-1.49,2,3,57.53,2
O=C(O)c1ccc(C(F)(F)F)cc1,Z56922105,190.024,190.119,2.94,-2.6,1,2,37.3,2
O=C(O)c1c[nH]c2cc(Cl)ccc12,Z385446076,195.009,195.602,2.925,-3.09,2,2,53.09,1
Cc1noc(C)c1-c1ccccc1,Z1255374820,173.084,173.211,1.947,-2.51,0,1,26.03,1
Fc1ccc2[nH]ccc2c1,Z1160902020,135.048,135.138,2.443,-2.54,1,0,15.79,0
O=C(O)COc1ccccc1,Z57182011,152.047,152.147,1.35,-1.47,1,3,46.53,3
OCn1cnc2ccccc21,Z56926682,148.064,148.162,0.604,-1.18,1,2,38.05,1
Nc1ccc2ncccc2c1,Z255114686,144.069,144.173,1.477,-1.85,1,2,38.91,0
O=C(O)c1cc2occc2[nH]1,Z1198172211,151.027,151.12,1.517,-1.59,2,2,66.23,1
NS(=O)(=O)c1nc2ccccc2[nH]1,Z969591530,197.026,197.214,0.749,-2.49,2,3,88.84,1
FC(F)(F)c1ccnc(N2CCNCC2)n1,Z1117899682,232.094,232.206,0.811,-2.01,1,4,41.05,2
COc1ccccc1C(=O)O,Z57127524,152.047,152.147,1.594,-1.55,1,3,46.53,2
O=C(O)Cc1ccc(Cl)c(Cl)c1,Z104476066,203.974,205.038,2.72,-2.58,1,2,37.3,2
OCc1cccc2c1OCCO2,Z440625162,166.063,166.174,1.028,-1.45,1,3,38.69,1
CC1(C)CNCc2ccccc21,Z1198176426,161.12,161.244,2.633,-1.28,1,1,12.03,0
Brc1ccc(-c2c[nH]cn2)cc1,Z1269191577,221.979,223.069,2.953,-3.35,1,1,28.68,1
CC(=O)c1cn(C)c2ccccc12,Z57070074,173.084,173.211,2.22,-1.82,0,1,22,1
O=C(O)c1ccc(-c2ccccc2)nc1,Z1201621962,199.063,199.205,2.897,-2.708,1,3,50.19,2
CC(=O)c1ccc(O)c(C)c1,Z57221419,150.068,150.175,1.904,-1.63,1,2,37.3,1
O=C1CCCc2cc(O)ccc21,Z877546758,162.068,162.185,1.999,-2.08,1,2,37.3,0
Cc1nc(N)ccc1Br,Z57376600,185.979,187.037,1.803,-1.92,1,2,38.91,0
Cc1cc2ccccc2[nH]1,Z57200682,131.073,131.174,2.631,-2.43,1,0,15.79,0
Cc1ccc(N)c(C(=O)O)c1,Z111833788,151.063,151.163,1.707,-1.86,2,3,63.32,1
NS(=O)(=O)c1ccc2c(c1)CCC2,Z45415660,197.051,197.254,1.318,-2.75,1,2,60.16,1
NS(=O)(=O)c1ccccc1F,Z45415581,175.01,175.181,0.694,-1.62,1,2,60.16,1
c1cc(-c2ncc[nH]2)ccn1,Z728187792,145.064,145.161,0.73,-0.98,1,2,41.57,1
CN(C)c1ccc(C(=O)O)cn1,Z330799458,166.074,166.177,1.514,-0.83,1,4,53.43,2
COC(=O)c1c[nH]c2ncccc12,Z1079133092,176.059,176.172,1.321,-1.91,1,2,54.98,2
O=C(O)Cc1n[nH]c(=O)c2ccccc12,Z56871698,204.053,204.182,-0.573,-2.57,2,4,78.76,2
Nc1ccc(C(=O)O)cc1,Z57127446,137.048,137.136,0.978,-1.34,2,3,63.32,1
OCCOc1ccccc1,Z104473570,138.068,138.164,1.188,-1.26,1,2,29.46,3
Nc1nc2ccc(Br)cc2s1,Z56858257,227.936,229.097,2.695,-3.65,1,2,38.91,0
CN1Cc2ccccc2NC1=O,Z104476152,162.079,162.189,1.033,-1.59,1,1,32.34,0
O=C(O)c1cc2ccccc2o1,Z56839706,162.032,162.142,2.445,-2.61,1,2,50.44,1
Cc1cc2ccccc2[nH]c1=O,Z1198181962,159.068,159.185,1.311,-2.89,1,1,29.1,0
O=C(O)c1cnn(-c2ccccc2)c1,Z99601182,188.059,188.183,2.2,-1.54,1,3,55.12,2
Cc1cccc(O)c1,Z104473820,108.058,108.138,1.974,-1.46,1,1,20.23,0
NC(=O)c1cccc(N)c1,Z118530082,136.064,136.151,-0.252,-1.39,2,2,69.11,1
Nc1cccc2cn[nH]c12,Z235348069,133.064,133.151,1.036,-1.77,2,2,54.7,0
COc1ccc(N)cc1F,Z362635046,141.059,141.143,1.159,-1.51,1,2,35.25,1
O=c1ccc2ccccc2[nH]1,Z57473020,145.053,145.158,0.812,-2.6,1,1,29.1,0
COc1ccc(C(=O)O)cc1,Z56931884,152.047,152.147,2.023,-1.55,1,3,46.53,2
Nc1nccc2ccccc12,Z1203162487,144.069,144.173,1.492,-2.5,1,2,38.91,0
c1ccc(Cc2ccncc2)cc1,Z104477464,169.089,169.222,2.712,-2.21,0,1,12.89,2
O=C1C(=O)N(Cc2ccccc2)c2ccccc21,Z56862402,237.079,237.253,2.332,-4.29,0,2,37.38,2
O=C(O)c1cscn1,Z800222638,128.988,129.137,0.831,-0.85,1,3,50.19,1
c1ccc(-n2ccnc2)cc1,Z440825046,144.069,144.173,2.08,-1.53,0,1,17.82,1
Cc1ccc2[nH]c(C(=O)O)cc2c1,Z235352033,175.063,175.184,2.63,-3.17,2,2,53.09,1
CC(C)n1c(N)nc2ccccc21,Z367659362,175.111,175.23,2.134,-2.12,1,2,43.84,1
Cl.NC1CCN(C(=O)C2CC2)CC1,Z1455658966,204.103,168.236,-1.422,-1.763,1,2,46.33,1
Cc1ccccc1S(N)(=O)=O,Z57902803,171.035,171.217,0.804,-1.61,1,2,60.16,1
O=C(O)c1ccc2c(c1)OCO2,Z104476884,166.027,166.131,1.972,-2.12,1,4,55.76,1
CCOc1ccc(S(N)(=O)=O)cc1,Z45415565,201.046,201.243,1.078,-1.709,1,3,69.39,3
Nc1ccccc1CO,Z104495736,123.068,123.152,-0.173,-0.74,2,2,46.25,1
O=C(O)c1cc2ccsc2[nH]1,Z235000792,167.004,167.185,1.882,-2.87,2,2,53.09,1
Nc1ncc(Cc2ccccc2)s1,Z57040472,190.056,190.265,2.296,-2.84,1,2,38.91,2
O=C(O)CCc1nc2cc(Cl)ccc2s1,Z228584328,240.996,241.694,2.581,-2.41,1,3,50.19,3
CC(=O)N1CCN(c2ccc(O)cc2)CC1,Z28269747,220.121,220.268,0.512,-1.677,1,3,43.78,1
O=C(O)c1ccc(O)c(F)c1,Z57073754,156.022,156.111,1.633,-1.41,2,3,57.53,1
Oc1cccc2cccnc12,Z56926518,145.053,145.158,2.077,-1.62,1,2,33.12,0
CC(C)(C)c1ccc(O)c(O)c1,Z104476062,166.099,166.217,2.704,-2.22,2,2,40.46,1
N#Cc1ccccc1O,Z104477750,119.037,119.121,1.597,-1.27,1,2,44.02,0
Cc1ncc(C(=O)O)s1,Z385373334,143.004,143.164,1.13,-0.56,1,3,50.19,1
Cc1ncc(C)c(N)n1,Z1198261676,123.08,123.156,0.624,-0.49,1,3,51.8,0
CNc1nc2ccccc2[nH]1,Z56767838,147.08,147.177,2.036,-2.41,2,2,40.71,1
O=C(O)c1cc2ccc(Cl)cc2[nH]1,Z119990438,195.009,195.602,2.925,-3.42,2,2,53.09,1
O=C(NCCO)c1ccc(Cl)cc1,Z31725206,199.04,199.634,1.215,-2.25,2,2,49.33,3
O=C(O)CCC1CCCC1,Z104478044,142.099,142.196,2.426,-2.27,1,2,37.3,3
COc1ccc2[nH]ccc2c1,Z104507276,147.068,147.174,2.153,-2.29,1,1,25.02,1
O=C(O)CCc1ccc(O)cc1,Z317038012,166.063,166.174,1.236,-0.95,2,3,57.53,3
NCC1(c2ccccc2)CCCC1,Z199451530,175.136,175.27,2.985,-2.33,1,1,26.02,2
Cc1cc(C)nc(N)n1,Z104501152,123.08,123.156,0.674,-0.86,1,3,51.8,0
NC(=O)CN1CCCC1=O,Z56865289,142.074,142.156,-1.182,-0.15,1,2,63.4,2
Oc1ccc2[nH]ccc2c1,Z1203162319,133.053,133.147,1.465,-1.85,2,1,36.02,0
Nc1ccc(S(N)(=O)=O)cc1,Z56851240,172.031,172.205,-0.572,-1.16,2,3,86.18,1
Nc1nc2c(Cl)cccc2s1,Z57607000,183.986,184.646,2.545,-3.282,1,2,38.91,0
CCCc1ccc(S(N)(=O)=O)cc1,Z45415607,199.067,199.27,1.862,-2.89,1,2,60.16,3
O=C1CNc2cc(Br)ccc2N1,Z1269175847,225.974,227.058,1.672,-2.37,2,2,41.13,0
OCc1ccc(Br)cc1,Z335244742,185.968,187.034,1.967,-2.07,1,1,20.23,1
N#Cc1ccc(O)cc1F,Z1157728598,137.028,137.111,1.844,-1.57,1,2,44.02,0
CCc1ccc(S(N)(=O)=O)cc1,Z57902253,185.051,185.243,1.333,-2.37,1,2,60.16,2
CCOC(=O)c1c(C)n[nH]c1C,Z1201619441,168.09,168.193,1.685,-1.19,1,2,54.98,3
O=C1CCc2cccc3c2N1CC3,Z1198154439,173.084,173.211,1.497,-2.024,0,1,20.31,0
Nc1nc2ccccc2s1,Z56912586,150.025,150.201,1.823,-2.51,1,2,38.91,0
O=c1[nH]ccc2ccccc12,Z56960237,145.053,145.158,0.812,-2.71,1,1,29.1,0
Nc1c(F)cccc1C(=O)O,Z362758748,155.038,155.126,1.398,-1.63,2,3,63.32,1
Oc1ccc(-n2ccnc2)cc1,Z56969320,160.064,160.173,1.734,-1.14,1,2,38.05,1
O=C(O)c1cccc(C(=O)O)n1,Z57202012,167.022,167.119,1.078,-1.04,2,5,87.49,2
O=C(c1ccncc1)c1ccc(F)cc1,Z385412938,201.059,201.196,2.248,-2.91,0,2,29.96,2
Cc1ncsc1CCO,Z104477768,143.04,143.207,0.126,-0.5,1,2,33.12,2
Nc1nc2ccc(Cl)cc2s1,Z56896352,183.986,184.646,2.545,-3.28,1,2,38.91,0
c1cc2c(cc1CNC1CCCC1)OCO2,Z57326449,219.126,219.28,2.947,-2.755,1,3,30.49,3
Cc1ccc(S(N)(=O)=O)cc1,Z45415564,171.035,171.217,0.804,-1.85,1,2,60.16,1
O=C(O)c1cc2c(Cl)cccc2[nH]1,Z119989536,195.009,195.602,2.925,-3.42,2,2,53.09,1
NC(=O)c1ccc(O)cc1,Z104502228,137.048,137.136,0.327,-1.17,2,2,63.32,1
CSc1ccc(N)cc1,Z104511114,139.046,139.218,1.474,-1.99,1,1,26.02,1
Nc1nc2cc(Cl)ccc2o1,Z89267039,168.009,168.58,1.893,-2.67,1,2,52.05,0
Cc1cc(C)nc(N)c1,Z1192367241,122.084,122.168,1.316,-1.28,1,2,38.91,0
O=C(O)c1ncccc1O,Z608353738,139.027,139.109,1.768,-0.23,2,4,70.42,1
Oc1ccc2cn[nH]c2c1,Z1198147845,134.048,134.135,1.634,-1.55,2,2,48.91,0
OCc1cc2c(Cl)cccc2[nH]1,Z1251357721,181.029,181.619,1.975,-2.83,2,1,36.02,1
O=C(O)c1cccc2c1OCCO2,Z316118634,180.042,180.157,1.931,-2.04,1,4,55.76,1
Cc1onc(-c2ccccc2)c1C(=O)O,Z104482458,203.058,203.194,1.614,-2.36,1,3,63.33,2
Cn1ncc(C(=O)O)c1-c1ccccc1,Z808584750,202.074,202.209,1.559,-1.9,1,3,55.12,2
Cc1ccc(N)cc1,Z57127875,107.073,107.153,1.414,-1.69,1,1,26.02,0
O=C(O)c1ccccc1Br,Z57825381,199.947,201.017,2.196,-2.65,1,2,37.3,1
NNC(=O)c1ccccc1,Z56926669,136.064,136.151,0.265,-1.65,2,2,55.12,1
CCCc1ccccc1N,Z336087926,135.105,135.206,2.422,-2.52,1,1,26.02,2
CC(=O)c1c[nH]c2cc(F)ccc12,Z234897299,177.059,177.175,2.198,-2.85,1,1,32.86,1
COc1ccc2[nH]cc(CC(=O)O)c2c1,Z385472506,205.074,205.21,1.425,-1.89,2,3,62.32,3
c1ccc2oncc2c1,Z220335556,119.037,119.121,1.505,-1.48,0,1,26.03,0
OCCc1ccccc1,Z104473586,122.073,122.164,1.333,-0.97,1,1,20.23,2
NC(=O)c1cccc(Cl)c1,Z33546479,155.014,155.582,1.536,-2.34,1,1,43.09,1
O=C(O)c1c[nH]c(=O)[nH]c1=O,Z104477702,156.017,156.096,-0.754,-1.05,3,4,95.5,1
COC(=O)c1ccc(Cl)cc1N,Z53833897,185.024,185.608,2.935,-2.29,1,2,52.32,2
O=C1Nc2cccc3cccc1c23,Z56899189,169.053,169.179,1.802,-3.53,1,1,29.1,0
O=C(O)C(c1ccccc1)c1ccccc1,Z104477292,212.084,212.244,2.762,-2.72,1,2,37.3,3
O=C1CCc2ccccc21,Z104495974,132.058,132.159,1.716,-1.94,0,1,17.07,0
C#CCN1CCOC1=O,Z804943488,125.048,125.125,0.554,-1.199,0,1,29.54,1
Nc1ccc(Br)cc1C(=O)O,Z104484428,214.958,216.032,2.198,-2.48,2,3,63.32,1
O=C(O)c1ccc(O)cc1,Z104498098,138.032,138.121,1.557,-1.12,2,3,57.53,1
c1ccc2[nH]ccc2c1,Z57833933,117.058,117.148,2.132,-2.24,1,0,15.79,0
FC(F)(F)c1cnc[nH]1,Z440623534,136.025,136.075,1.035,-1.62,1,1,28.68,1
OCCc1ccc(F)cc1,Z397587326,140.064,140.155,1.476,-1.27,1,1,20.23,2
Cc1ccc2cc(C(=O)O)[nH]c2c1,Z119989628,175.063,175.184,2.63,-3.17,2,2,53.09,1
Cc1cc(Br)c2c(c1)C(=O)C(=O)N2,Z111834284,238.958,240.053,2.19,-3.69,1,2,46.17,0
OCc1cc(-c2ccccc2)on1,Z431953146,175.063,175.184,1.181,-1.93,1,2,46.26,2
O=C(O)CNC(=O)NC1CCCCC1,Z228589126,200.116,200.235,1.431,-1.67,3,3,78.43,3
O=C(O)c1cncc(-c2ccccc2)c1,Z363993550,199.063,199.205,2.687,-2.82,1,3,50.19,2
O=C1CCNC(=O)N1,Z57033885,114.043,114.103,-1.232,0.34,2,2,58.2,0
NC(=O)c1ccccn1,Z33546380,122.048,122.125,0.144,-0.67,1,2,55.98,1
NS(=O)(=O)N1CCCCC1,Z300095616,164.062,164.226,0.96,-0.5,1,3,63.4,0
Cc1nn(C)c(C)c1CCO,Z1198175704,154.111,154.21,-0.344,0.61,1,2,38.05,2
NNC(=O)Cc1ccc(F)cc1,Z56347387,168.07,168.168,0.287,-1.49,2,2,55.12,2
NC(=O)c1ccccc1O,Z68590124,137.048,137.136,1.277,-1.17,2,2,63.32,1
O=c1cc[nH]c(=O)[nH]1,Z56889474,112.027,112.087,-1.056,-0.88,2,2,58.2,0
Cc1ccc(N)nc1,Z104475374,108.069,108.141,0.817,-0.86,1,2,38.91,0
NC(=O)c1cccnc1,Z33546463,122.048,122.125,-0.206,-0.42,1,2,55.98,1
O=C(O)c1cncc(O)c1,Z57124104,139.027,139.109,1.138,0.02,2,4,70.42,1
COc1ccc(S(N)(=O)=O)cc1,Z45415561,187.03,187.216,0.549,-1.36,1,3,69.39,2
O=C(O)C(=O)Nc1ccccc1,Z362848468,165.043,165.146,-0.085,-1.75,2,3,66.4,2
CNCc1ccc(N2CCCCC2)cc1,Z102767654,204.163,204.311,2.348,-1.79,1,2,15.27,3
Cn1cc(CCC(=O)O)c2ccccc21,Z335290460,203.095,203.237,2.359,-1.41,1,2,42.23,3
Cl.FC(F)(F)c1ccnc(C2CCCN2)n1,Z2512961790,253.652,217.191,0.43,-1.859,1,3,37.81,2
O=C1CNC(=O)N1,Z57131035,100.027,100.076,-1.691,0.26,2,2,58.2,0
CCOc1ccccc1O,Z104480244,138.068,138.164,1.853,-1.35,1,2,29.46,2
NS(=O)(=O)c1ccccc1Cl,Z45415618,190.981,191.635,0.964,-2.1,1,2,60.16,1
Nc1ccc2ccccc2n1,Z56347237,144.069,144.173,1.702,-2.39,1,2,38.91,0
c1ccc2[nH]ncc2c1,Z276614452,118.053,118.136,1.625,-1.93,1,1,28.68,0
O=C(O)c1ccc(F)cc1,Z57367354,140.027,140.112,2.126,-1.8,1,2,37.3,1
Cc1cc2nc[nH]c2cc1C,Z55928828,146.084,146.189,2.513,-3,1,1,28.68,0
COc1ccc(C(=O)O)cc1OC,Z104478452,182.058,182.173,1.665,-1.58,1,4,55.76,3
O=C1CSc2cc(C(=O)O)ccc2N1,Z1508957209,209.015,209.222,1.334,-2.5,2,3,66.4,1
Nc1ccc(C(=O)O)c(O)c1,Z90121065,153.043,153.135,1.056,-0.95,3,4,83.55,1
Cl.Cl.NCCc1c[nH]cn1,Z1267773750,183.033,111.145,-0.968,-1.08,2,2,54.7,2
N#Cc1ccc(O)cc1,Z104473840,119.037,119.121,1.597,-1.27,1,2,44.02,0
O=c1ccc2ccc(O)cc2o1,Z57150899,162.032,162.142,1.623,-2.16,1,2,46.53,0
O=C(O)COc1c(Cl)cccc1Cl,Z56928539,219.969,221.037,2.505,-2.99,1,3,46.53,3
Cc1cc(CO)c2ccccc2n1,Z397587554,173.084,173.211,1.94,-1.76,1,2,33.12,1
O=C(c1cccc(O)c1)N1CCOCC1,Z31721188,207.09,207.226,0.646,-1.779,1,3,49.77,1
Nc1nccs1,Z104472798,100.01,100.142,0.229,-0.8,1,2,38.91,0
NS(=O)(=O)c1cccs1,Z45415560,162.976,163.218,0.179,-1.62,1,2,60.16,1
COc1ccc(O)cc1,Z104474598,124.052,124.137,1.574,-0.99,1,2,29.46,1
NC(=O)c1cnccn1,Z33546644,123.043,123.113,-0.676,0.47,1,3,68.87,1
Nc1cccc2[nH]cnc12,Z1259162108,133.064,133.151,1.013,-1.39,2,2,54.7,0
O=C(O)c1ccc2[nH]ccc2c1,Z1118536235,161.048,161.157,2.067,-2.41,2,2,53.09,1
Cc1nc(-c2cccc(N)c2)cs1,Z57984669,190.056,190.265,2.05,-2.32,1,2,38.91,1
N=C(N)c1ccc2ccccc2c1,Z381356458,170.084,170.211,1.819,-3.54,2,2,49.87,1
O=c1[nH]cnc2c1oc1ccccc12,Z62452555,186.043,186.167,0.865,-2.76,1,2,54.6,0
O=C(O)CNC(=O)c1cccc(O)c1,Z239129930,195.053,195.172,0.326,-1.45,3,4,86.63,3
O=C(O)CCn1cnc2ccccc21,Z53116455,190.074,190.199,1.19,-1.36,1,3,55.12,3
O=C(O)CN1C(=O)c2ccccc2C1=O,Z56175684,205.038,205.167,0.881,-2.42,1,4,74.68,2
OCc1ccc(Cl)cc1,Z104478032,142.019,142.583,1.817,-1.69,1,1,20.23,1
O=C(O)Cc1c(Cl)cccc1Cl,Z104478552,203.974,205.038,2.84,-2.58,1,2,37.3,2
NC(=O)c1cccc2[nH]ccc12,Z415653738,160.064,160.173,0.837,-2.46,2,1,58.88,1
CN(C)c1cccc(C(=O)NN)c1,Z56858159,179.106,179.219,0.625,-1.57,2,3,58.36,2
CC(C)n1cnc2cc(C(=O)O)ccc21,Z431983770,204.09,204.225,2.437,-1.89,1,3,55.12,2
Nc1ccc2nc(Cc3ccccc3)oc2c1,Z361423098,224.095,224.258,2.7,-2.64,1,2,52.05,2
NS(=O)(=O)c1ccccc1,Z45415554,157.02,157.19,0.305,-1.33,1,2,60.16,1
O=C(O)Cc1ccccc1C(=O)O,Z104474214,180.042,180.157,0.857,-1.2,2,4,74.6,3
NS(=O)(=O)c1cc2ccccc2o1,Z1378432729,197.015,197.211,0.865,-2.72,1,2,73.3,1
OCc1ccccc1Br,Z335245004,185.968,187.034,1.967,-2.07,1,1,20.23,1
O=C(O)Cc1cc2ccccc2s1,Z1198265898,192.025,192.234,2.444,-2.76,1,2,37.3,2
NCCCN1CCc2ccccc2C1,Z271005928,190.147,190.285,1.773,-0.96,1,2,29.26,3
CC(C)c1ccc(N)cc1,Z104476320,135.105,135.206,2.342,-2.66,1,1,26.02,1
Cc1ccc(O)c(C(=O)O)c1,Z147642456,152.047,152.147,2.686,-1.63,2,3,57.53,1
O=C1Nc2ccc(Cl)cc2C1=O,Z56899110,180.993,181.576,1.541,-2.82,1,2,46.17,0
Cc1cc(C)c(N)c(C(=O)O)c1,Z362758732,165.079,165.189,2.156,-2.14,2,3,63.32,1
O=C(O)Cc1c[nH]c2ccc(Br)cc12,Z596250880,252.974,254.08,2.435,-2.98,2,2,53.09,2
Oc1c(F)cccc1F,Z147646794,130.023,130.092,1.762,-1.55,1,1,20.23,0
NS(=O)(=O)c1ccc(F)cc1,Z45415567,175.01,175.181,0.694,-1.62,1,2,60.16,1
CCCC(=O)c1cccnc1,Z513733856,149.084,149.19,1.538,-1.5,0,2,29.96,3
O=C1NS(=O)(=O)c2ccccc21,Z256708526,182.999,183.185,0.718,-1.77,1,3,63.24,0
CCn1c(=O)[nH]c2ccccc21,Z57114989,162.079,162.189,2.143,-2.17,1,1,32.34,1
NC1(C(=O)O)CCCC1,Z234896477,129.079,129.157,-2.254,-0.7,2,3,63.32,1
COc1ccc(C)cc1N,Z104477476,137.084,137.179,1.683,-1.73,1,2,35.25,1
Oc1ccc2c(c1)OCO2,Z104473678,138.032,138.121,1.564,-1.57,1,3,38.69,0
OCc1nc2ccccc2[nH]1,Z56791635,148.064,148.162,0.527,-1.31,2,2,48.91,1
O=C(O)CCc1ccccc1,Z57127332,150.068,150.175,1.903,-1.34,1,2,37.3,3
Oc1ccnc2ccccc12,Z818727120,145.053,145.158,2.316,-1.62,1,2,33.12,0
O=C(O)Cc1cccc(O)c1,Z816000338,152.047,152.147,0.747,-0.66,2,3,57.53,2
Cn1ccc2cc[nH]c2c1=O,Z1203734446,148.064,148.162,0.204,-0.96,1,1,36.1,0
COc1cccc(OC)c1C(=O)O,Z57915361,182.058,182.173,1.155,-1.58,1,4,55.76,3
O=C(O)c1coc2c1C(=O)CCC2,Z1201618250,180.042,180.157,1.309,-1.38,1,3,67.51,1
CC(=O)c1ccc(Br)cc1,Z57127459,197.968,199.045,2.52,-2.89,0,1,17.07,1
Cc1ccnc(N)c1,Z203045032,108.069,108.141,0.817,-1.1,1,2,38.91,0
FC(F)(F)c1ncc(Br)cn1,Z729557174,225.935,226.982,1.514,-2.129,0,2,25.78,1
CC(=O)c1c[nH]c2c(C)cccc12,Z1198233123,173.084,173.211,2.478,-2.84,1,1,32.86,1
O=C(O)c1cnccn1,Z104476002,124.027,124.097,0.1,0.52,1,4,63.08,1
O=C(O)COC1CCCC1,Z316258762,144.079,144.168,1.081,-0.63,1,3,46.53,3
Cc1cccc(C(=O)O)c1N,Z94600359,151.063,151.163,1.657,-1.62,2,3,63.32,1
O=c1cc(O)c2ccccc2o1,Z56922074,162.032,162.142,1.916,-2.16,1,2,46.53,0
O=C(O)Cc1cc(Cl)cc(Cl)c1,Z1269159102,203.974,205.038,2.84,-2.579,1,2,37.3,2
NC(=O)C1CCCCC1,Z33546516,127.1,127.184,0.917,-1.84,1,1,43.09,1
O=C(O)CNC1CCCC1,Z359505658,143.095,143.184,-1.652,-0.61,2,3,49.33,3
Cc1ccc(O)c(CO)n1,Z1104852895,139.063,139.152,0.793,0.18,2,3,53.35,1
O=C(O)c1cc2cc(F)ccc2[nH]1,Z235348085,179.038,179.148,2.355,-2.95,2,2,53.09,1
COc1cc(CC(=O)O)ccc1O,Z1203162033,182.058,182.173,0.596,-0.692,2,4,66.76,3
Cn1c(=O)c2c(ncn2C)n(C)c1=O,Z104507896,194.08,194.191,-0.04,-0.65,0,3,58.44,0
Nc1noc2ccccc12,Z218760918,134.048,134.135,1.153,-1.87,1,2,52.05,0
Nc1cccc(Oc2ccccn2)c1,Z404012058,186.079,186.21,1.516,-2.61,1,2,48.14,2
FC(F)(F)c1ccc(OC2CCNCC2)nc1,Z976688982,246.098,246.229,2.057,-2.118,1,3,34.15,3
Cc1nccn1CCO,Z425794744,126.079,126.156,-0.574,0.89,1,2,38.05,2
N#CCc1ccc(O)cc1,Z90120144,133.053,133.147,0.897,-1.21,1,2,44.02,1
CC(=O)Nc1cccc(N)c1,Z56926524,150.079,150.178,-0.066,-1.36,2,2,55.12,1
Cc1ccc2c(C(=O)O)c[nH]c2c1,Z385446074,175.063,175.184,2.63,-2.84,2,2,53.09,1
O=C1NCCc2ccccc21,Z56801375,147.068,147.174,0.996,-1.47,1,1,29.1,0
CS(=O)(=O)Nc1ccc(C(=O)O)cc1,Z45636695,215.025,215.226,0.918,-1.47,2,4,83.47,2
O=C(O)CCc1nc2ccccc2[nH]c1=O,Z56862720,218.069,218.209,0.066,-1.35,2,4,78.76,3
